Ticker,Company,Sector_Raw,Sector,Total_Revenue_B,Market_Cap_B,ROE,Profit_Margin,Beta,Headcount,Audit_Risk,Board_Risk,Compensation_Risk,Shareholder_Rights_Risk,Overall_Governance_Risk,Market_Cap_Quartile,Governance_Risk_Level
MO,"Altria Group, Inc.",Consumer Defensive,Consumer,20.444,116.081,,0.39,0.494,5900.0,6.0,1.0,2.0,6.0,2.0,Q4,Low
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Consumer,775.68,2736.596,0.3056,0.1744,1.443,1595000.0,2.0,8.0,10.0,3.0,9.0,Q4,High
AMCR,Amcor plc,Consumer Cyclical,Consumer,23.506,19.372,0.094,0.0471,0.595,75000.0,8.0,4.0,4.0,8.0,7.0,Q1,High
AEE,Ameren Corporation,Utilities,Industrials & Energy,8.411,28.302,0.1194,0.1858,0.47,8913.0,6.0,8.0,5.0,8.0,8.0,Q2,High
AEP,American Electric Power Company,Utilities,Industrials & Energy,22.791,65.328,0.1013,0.1378,0.5,17581.0,8.0,6.0,7.0,6.0,7.0,Q3,High
AXP,American Express Company,Financial Services,Finance,70.913,210.4,0.3438,0.1614,1.048,76800.0,4.0,9.0,1.0,6.0,5.0,Q4,Medium
AIG,"American International Group, I",Financial Services,Finance,26.739,39.39,0.0722,0.1109,0.511,22100.0,5.0,6.0,5.0,2.0,4.0,Q2,Medium
AMT,American Tower Corporation (REI,Real Estate,Consumer,10.942,81.068,0.3391,0.3108,0.895,4866.0,1.0,3.0,3.0,3.0,1.0,Q3,Low
AWK,"American Water Works Company, I",Utilities,Industrials & Energy,5.284,27.007,0.1009,0.2135,0.58,7000.0,5.0,1.0,1.0,4.0,1.0,Q2,Low
AMP,"Ameriprise Financial, Inc.",Financial Services,Finance,19.839,48.082,0.6343,0.199,1.134,13600.0,9.0,5.0,7.0,5.0,6.0,Q3,Medium
AME,"AMETEK, Inc.",Industrials,Industrials & Energy,7.864,54.482,0.1456,0.2004,0.989,22500.0,2.0,6.0,3.0,9.0,8.0,Q3,High
AMGN,Amgen Inc.,Healthcare,Healthcare,38.095,208.495,0.9147,0.2295,0.426,31500.0,7.0,8.0,2.0,2.0,3.0,Q4,Low
APH,Amphenol Corporation,Technology,Tech & Comms,29.012,191.236,0.3811,0.1773,1.242,170000.0,6.0,8.0,7.0,2.0,6.0,Q4,Medium
ADI,"Analog Devices, Inc.",Technology,Tech & Comms,13.882,182.061,0.1223,0.2979,1.205,24500.0,9.0,9.0,7.0,6.0,8.0,Q4,High
AON,Aon plc,Financial Services,Finance,17.577,62.713,0.447,0.2227,0.66,60000.0,7.0,1.0,10.0,8.0,9.0,Q3,High
APA,APA Corporation,Energy,Industrials & Energy,8.572,15.72,0.2666,0.1956,0.366,1791.0,5.0,2.0,9.0,7.0,7.0,Q1,High
APO,"Apollo Global Management, Inc. ",Financial Services,Finance,35.598,74.355,0.1141,0.0527,1.514,6140.0,9.0,9.0,10.0,5.0,9.0,Q3,High
AAPL,Apple Inc.,Technology,Tech & Comms,466.823,4905.542,1.4875,0.2762,1.085,150000.0,2.0,1.0,6.0,1.0,1.0,Q4,Low
AMAT,"Applied Materials, Inc.",Technology,Tech & Comms,30.837,352.81,0.4107,0.3005,1.597,38900.0,2.0,2.0,2.0,1.0,1.0,Q4,Low
APP,Applovin Corporation,Communication Services,Tech & Comms,6.829,103.49,2.0369,0.6458,2.488,876.0,1.0,9.0,10.0,10.0,10.0,Q4,High
APTV,Aptiv PLC,Consumer Cyclical,Consumer,20.518,9.051,0.0516,0.0107,1.33,140000.0,6.0,8.0,6.0,8.0,8.0,Q1,High
ACGL,Arch Capital Group Ltd.,Financial Services,Finance,19.232,33.062,0.1994,0.244,0.282,8000.0,6.0,4.0,2.0,8.0,5.0,Q2,Medium
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Consumer,82.099,41.053,0.0764,0.0216,0.613,40798.0,10.0,8.0,2.0,1.0,6.0,Q2,Medium
ARES,Ares Management Corporation,Financial Services,Finance,5.988,41.074,0.1494,0.1063,1.517,4343.0,8.0,10.0,10.0,10.0,10.0,Q2,High
ANET,"Arista Networks, Inc.",Technology,Tech & Comms,10.541,251.476,0.3148,0.3837,1.617,5115.0,1.0,10.0,10.0,10.0,10.0,Q4,High
AJG,Arthur J. Gallagher & Co.,Financial Services,Finance,15.109,61.389,0.0672,0.1038,0.506,67456.0,5.0,6.0,7.0,5.0,6.0,Q3,Medium
AIZ,"Assurant, Inc.",Financial Services,Finance,13.456,13.921,0.1834,0.079,0.542,14800.0,1.0,1.0,4.0,5.0,1.0,Q1,Low
T,AT&T Inc.,Communication Services,Tech & Comms,127.239,174.051,0.1834,0.1694,0.431,133030.0,1.0,6.0,5.0,3.0,3.0,Q4,Low
ATO,Atmos Energy Corporation,Utilities,Industrials & Energy,4.922,27.089,0.0979,0.285,0.594,5487.0,9.0,8.0,6.0,7.0,8.0,Q2,High
ADSK,"Autodesk, Inc.",Technology,Tech & Comms,7.79,45.343,0.5385,0.2108,1.309,14300.0,1.0,2.0,7.0,2.0,2.0,Q3,Low
ADP,"Automatic Data Processing, Inc.",Technology,Tech & Comms,21.947,107.746,0.7224,0.2011,0.83,67000.0,1.0,3.0,1.0,2.0,1.0,Q4,Low
AZO,"AutoZone, Inc.",Consumer Cyclical,Consumer,19.986,46.614,,0.124,0.34,78000.0,5.0,7.0,3.0,4.0,4.0,Q3,Medium
AVY,Avery Dennison Corporation,Consumer Cyclical,Consumer,9.248,12.71,0.3116,0.0762,0.814,35000.0,8.0,9.0,2.0,6.0,7.0,Q1,High
AXON,"Axon Enterprise, Inc.",Industrials,Industrials & Energy,3.219,36.375,0.0622,0.0619,1.399,5100.0,10.0,4.0,9.0,5.0,9.0,Q2,High
BKR,Baker Hughes Company,Energy,Industrials & Energy,27.725,56.831,0.1646,0.1117,0.961,54000.0,3.0,6.0,8.0,2.0,5.0,Q3,Medium
BALL,Ball Corporation,Consumer Cyclical,Consumer,14.326,15.922,0.1715,0.0661,0.951,16000.0,8.0,2.0,5.0,9.0,7.0,Q1,High
BAC,Bank of America Corporation,Financial Services,Finance,113.931,403.691,0.112,0.2952,1.164,211000.0,10.0,5.0,6.0,2.0,6.0,Q4,Medium
BAX,Baxter International Inc.,Healthcare,Healthcare,11.47,11.788,-0.1437,-0.0927,0.595,37500.0,3.0,2.0,9.0,2.0,6.0,Q1,Medium
BDX,"Becton, Dickinson and Company",Healthcare,Healthcare,22.484,49.286,0.0661,0.0419,0.276,72000.0,3.0,6.0,5.0,1.0,2.0,Q3,Low
BRK-B,Berkshire Hathaway Inc. New,Financial Services,Finance,384.687,1091.27,0.1212,0.223,0.603,387800.0,10.0,10.0,9.0,10.0,10.0,Q4,High
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Consumer,42.201,19.473,0.4313,0.0301,1.305,82000.0,5.0,1.0,6.0,2.0,1.0,Q1,Low
TECH,Bio-Techne Corp,Healthcare,Healthcare,1.215,11.349,0.0903,0.1497,1.275,3000.0,7.0,1.0,10.0,1.0,8.0,Q1,High
BIIB,Biogen Inc.,Healthcare,Healthcare,10.028,31.841,0.0457,0.0832,0.171,7500.0,8.0,2.0,9.0,2.0,5.0,Q2,Medium
BLK,"BlackRock, Inc.",Financial Services,Finance,27.299,173.814,0.1228,0.2409,1.429,26200.0,3.0,6.0,10.0,1.0,8.0,Q4,High
BX,Blackstone Inc.,Financial Services,Finance,15.483,149.364,0.3137,0.2273,1.558,5285.0,8.0,10.0,9.0,10.0,10.0,Q4,High
XYZ,"Block, Inc.",Technology,Tech & Comms,25.042,45.829,0.0161,0.0143,2.522,10205.0,4.0,10.0,9.0,10.0,10.0,Q3,High
BE,Bloom Energy Corporation,Industrials,Industrials & Energy,3.113,78.235,0.2221,0.0787,3.811,2214.0,3.0,7.0,6.0,8.0,7.0,Q3,High
BNY,The Bank of New York Mellon Cor,Financial Services,Finance,21.415,104.347,0.1412,0.2941,1.048,46500.0,2.0,7.0,10.0,3.0,8.0,Q4,High
BA,Boeing Company (The),Industrials,Industrials & Energy,93.995,156.651,1.7354,0.0259,1.213,182000.0,10.0,3.0,9.0,5.0,9.0,Q4,High
BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Consumer,28.241,126.157,,0.2553,1.068,25550.0,9.0,2.0,3.0,2.0,1.0,Q4,Low
BSX,Boston Scientific Corporation,Healthcare,Healthcare,20.996,62.81,0.1534,0.175,0.568,59000.0,10.0,8.0,4.0,4.0,7.0,Q3,High
BMY,Bristol-Myers Squibb Company,Healthcare,Healthcare,49.186,128.814,0.466,0.1887,0.227,32500.0,4.0,8.0,3.0,2.0,4.0,Q4,Medium
AVGO,Broadcom Inc.,Technology,Tech & Comms,89.104,1707.098,0.4425,0.4294,1.457,33000.0,3.0,3.0,10.0,3.0,9.0,Q4,High
BR,"Broadridge Financial Solutions,",Technology,Tech & Comms,7.477,18.6,0.4092,0.1504,0.91,16000.0,1.0,1.0,7.0,8.0,2.0,Q1,Low
BRO,"Brown & Brown, Inc.",Financial Services,Finance,6.663,21.756,0.1002,0.1808,0.582,22888.0,8.0,8.0,6.0,1.0,3.0,Q1,Low
BF-B,Brown Forman Inc,Consumer Defensive,Consumer,3.915,11.903,0.1812,0.1842,0.331,4900.0,9.0,10.0,10.0,10.0,10.0,Q1,High
BG,Bunge Limited,Consumer Defensive,Consumer,91.819,22.205,0.0718,0.011,0.66,34000.0,3.0,4.0,7.0,6.0,5.0,Q1,Medium
BXP,"BXP, Inc.",Real Estate,Consumer,3.19,11.426,0.0531,0.093,1.033,826.0,6.0,9.0,9.0,8.0,9.0,Q1,High
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials,Industrials & Energy,16.997,17.877,0.3712,0.0373,0.943,11599.0,1.0,3.0,7.0,8.0,6.0,Q1,Medium
CDNS,"Cadence Design Systems, Inc.",Technology,Tech & Comms,5.838,77.909,0.2323,0.2361,1.137,15445.0,3.0,2.0,3.0,1.0,1.0,Q3,Low
CPT,Camden Property Trust,Real Estate,Consumer,1.582,11.471,0.0789,0.2062,0.782,1640.0,3.0,7.0,9.0,7.0,8.0,Q1,High
COF,Capital One Financial Corporati,Financial Services,Finance,48.11,124.188,0.0903,0.2187,1.016,78400.0,3.0,7.0,8.0,2.0,6.0,Q4,Medium
CAH,"Cardinal Health, Inc.",Healthcare,Healthcare,254.248,52.418,,0.0067,0.519,58788.0,9.0,1.0,1.0,1.0,1.0,Q3,Low
CCL,Carnival Corporation Ltd.,Consumer Cyclical,Consumer,27.311,29.913,0.2669,0.1124,2.312,160000.0,7.0,9.0,1.0,9.0,8.0,Q2,High
CARR,Carrier Global Corporation,Industrials,Industrials & Energy,22.108,44.415,0.0897,0.0552,1.298,47000.0,8.0,5.0,9.0,2.0,6.0,Q2,Medium
CVNA,Carvana Co.,Consumer Cyclical,Consumer,25.058,72.172,0.5877,0.0626,3.497,23100.0,9.0,10.0,9.0,10.0,10.0,Q3,High
CASY,"Caseys General Stores, Inc.",Consumer Cyclical,Consumer,18.672,22.083,0.1998,0.0414,0.592,23490.0,7.0,5.0,3.0,7.0,5.0,Q1,Medium
CAT,"Caterpillar, Inc.",Industrials,Industrials & Energy,74.729,371.872,0.5697,0.1451,1.594,118000.0,4.0,4.0,3.0,5.0,3.0,Q4,Low
CBOE,"Cboe Global Markets, Inc.",Financial Services,Finance,5.061,28.495,0.263,0.2673,0.408,1661.0,6.0,1.0,3.0,5.0,2.0,Q2,Low
CBRE,CBRE Group Inc,Real Estate,Consumer,43.711,40.396,0.158,0.0298,1.188,155000.0,1.0,6.0,2.0,2.0,2.0,Q2,Low
CDW,CDW Corporation,Technology,Tech & Comms,23.5,18.276,0.4401,0.046,0.941,14800.0,1.0,6.0,6.0,4.0,4.0,Q1,Medium
COR,"Cencora, Inc.",Healthcare,Healthcare,332.771,58.924,0.9687,0.0079,0.574,47000.0,2.0,2.0,1.0,7.0,2.0,Q3,Low
CNC,Centene Corporation,Healthcare,Healthcare,180.304,32.164,-0.2036,-0.0283,1.106,61100.0,2.0,2.0,5.0,1.0,1.0,Q2,Low
CNP,"CenterPoint Energy, Inc (Holdin",Utilities,Industrials & Energy,9.62,25.176,0.0983,0.1161,0.451,8794.0,3.0,5.0,5.0,8.0,6.0,Q2,Medium
CF,"CF Industries Holdings, Inc.",Basic Materials,Industrials & Energy,7.739,19.326,0.2987,0.2712,0.399,2900.0,7.0,3.0,6.0,5.0,4.0,Q1,Medium
CRL,Charles River Laboratories Inte,Healthcare,Healthcare,3.999,13.394,-0.0752,-0.0596,1.405,18300.0,2.0,1.0,6.0,8.0,4.0,Q1,Medium
SCHW,Charles Schwab Corporation (The,Financial Services,Finance,26.025,182.013,0.2027,0.3879,0.753,33700.0,7.0,9.0,8.0,9.0,9.0,Q4,High
CHTR,"Charter Communications, Inc.",Communication Services,Tech & Comms,54.396,16.657,0.272,0.0905,0.687,91900.0,10.0,7.0,10.0,6.0,10.0,Q1,High
CVX,Chevron Corporation,Energy,Industrials & Energy,209.384,410.976,0.1223,0.0983,0.491,43039.0,10.0,4.0,1.0,2.0,1.0,Q4,Low
CMG,"Chipotle Mexican Grill, Inc.",Consumer Cyclical,Consumer,12.424,42.303,0.4956,0.1143,0.937,140000.0,6.0,1.0,2.0,7.0,2.0,Q2,Low
CB,Chubb Limited,Financial Services,Finance,61.896,131.419,0.1482,0.1807,0.382,45000.0,9.0,10.0,2.0,6.0,8.0,Q4,High
CHD,"Church & Dwight Company, Inc.",Consumer Defensive,Consumer,6.229,22.475,0.1704,0.1196,0.472,5550.0,4.0,4.0,2.0,5.0,3.0,Q2,Low
CIEN,Ciena Corporation,Technology,Tech & Comms,6.021,49.463,0.224,0.1087,1.309,8898.0,7.0,1.0,6.0,7.0,4.0,Q3,Medium
CI,The Cigna Group,Healthcare,Healthcare,282.382,72.74,0.1676,0.0227,0.317,65669.0,1.0,4.0,7.0,7.0,5.0,Q3,Medium
CINF,Cincinnati Financial Corporatio,Financial Services,Finance,13.954,25.938,0.2148,0.2384,0.545,5705.0,6.0,10.0,4.0,8.0,9.0,Q2,High
CTAS,Cintas Corporation,Industrials,Industrials & Energy,11.265,79.09,0.4071,0.1775,0.913,48100.0,7.0,10.0,3.0,9.0,9.0,Q3,High
CSCO,"Cisco Systems, Inc.",Technology,Tech & Comms,63.325,431.753,0.2732,0.2095,0.992,82400.0,6.0,6.0,8.0,1.0,3.0,Q4,Low
C,"Citigroup, Inc.",Financial Services,Finance,81.712,221.036,0.0853,0.2183,1.097,219000.0,1.0,6.0,10.0,1.0,8.0,Q4,High
CFG,"Citizens Financial Group, Inc.",Financial Services,Finance,8.161,28.236,0.0827,0.2605,0.997,17727.0,3.0,5.0,6.0,7.0,6.0,Q2,Medium
CLX,Clorox Company (The),Consumer Defensive,Consumer,6.72,10.049,1.6376,0.0873,0.544,9200.0,7.0,3.0,6.0,8.0,7.0,Q1,High
CME,CME Group Inc.,Financial Services,Finance,6.757,99.247,0.158,0.6344,0.275,3875.0,1.0,9.0,8.0,10.0,9.0,Q4,High
CMS,CMS Energy Corporation,Utilities,Industrials & Energy,8.813,20.489,0.0916,0.1164,0.331,8350.0,3.0,6.0,1.0,1.0,1.0,Q1,Low
KO,Coca-Cola Company (The),Consumer Defensive,Consumer,50.129,379.7,0.4205,0.2856,0.342,65900.0,4.0,9.0,1.0,4.0,4.0,Q4,Medium
CTSH,Cognizant Technology Solutions ,Technology,Tech & Comms,21.642,26.968,0.1492,0.1026,0.83,356700.0,1.0,4.0,4.0,2.0,1.0,Q2,Low
COHR,Coherent Corp.,Technology,Tech & Comms,7.118,62.149,0.0798,0.1131,2.104,51478.0,5.0,4.0,9.0,9.0,9.0,Q3,High
COIN,"Coinbase Global, Inc.",Financial Services,Finance,6.044,51.25,-0.0785,-0.1634,3.388,4951.0,10.0,10.0,10.0,10.0,10.0,Q3,High
CL,Colgate-Palmolive Company,Consumer Defensive,Consumer,21.047,69.729,2.6737,0.0968,0.323,33600.0,3.0,5.0,4.0,2.0,2.0,Q3,Low
CMCSA,Comcast Corporation,Communication Services,Tech & Comms,124.904,80.696,0.1149,0.0897,0.662,179000.0,10.0,10.0,9.0,10.0,10.0,Q3,High
FIX,"Comfort Systems USA, Inc.",Industrials,Industrials & Energy,11.228,58.119,0.5529,0.1278,1.676,22700.0,9.0,3.0,5.0,9.0,8.0,Q3,High
COP,ConocoPhillips,Energy,Industrials & Energy,64.459,158.372,0.1418,0.144,0.134,9600.0,9.0,5.0,3.0,8.0,7.0,Q4,High
ED,"Consolidated Edison, Inc.",Utilities,Industrials & Energy,17.689,38.991,0.0896,0.1253,0.259,15407.0,6.0,7.0,1.0,4.0,4.0,Q2,Medium
STZ,"Constellation Brands, Inc.",Consumer Defensive,Consumer,9.057,20.321,0.2369,0.2014,0.4,9400.0,8.0,3.0,3.0,4.0,3.0,Q1,Low
CEG,Constellation Energy Corporatio,Utilities,Industrials & Energy,31.27,90.246,0.1506,0.1108,1.117,15291.0,4.0,8.0,3.0,8.0,7.0,Q3,High
COO,"The Cooper Companies, Inc.",Healthcare,Healthcare,4.237,10.514,0.0684,0.1346,0.818,15000.0,10.0,3.0,9.0,3.0,7.0,Q1,High
CPRT,"Copart, Inc.",Industrials,Industrials & Energy,4.666,27.108,0.1616,0.3181,1.029,,10.0,9.0,7.0,2.0,7.0,Q2,High
GLW,Corning Incorporated,Technology,Tech & Comms,16.964,129.32,0.1681,0.112,1.151,67200.0,3.0,8.0,8.0,6.0,7.0,Q4,High
CPAY,"Corpay, Inc.",Technology,Tech & Comms,5.021,26.117,0.2922,0.2272,0.873,11800.0,10.0,10.0,10.0,2.0,9.0,Q2,High
CTVA,"Corteva, Inc.",Basic Materials,Industrials & Energy,17.812,53.729,0.0426,0.0566,0.577,21500.0,5.0,3.0,5.0,5.0,4.0,Q3,Medium
CSGP,"CoStar Group, Inc.",Real Estate,Consumer,3.556,11.787,0.0089,0.0208,0.747,8441.0,2.0,1.0,9.0,4.0,4.0,Q1,Medium
COST,Costco Wholesale Corporation,Consumer Defensive,Consumer,293.587,397.051,0.2915,0.0301,0.855,341000.0,6.0,2.0,4.0,1.0,1.0,Q4,Low
CRH,CRH PLC,Basic Materials,Industrials & Energy,38.632,57.314,0.1581,0.0994,1.198,83032.0,2.0,6.0,5.0,7.0,5.0,Q3,Medium
CRWD,"CrowdStrike Holdings, Inc.",Technology,Tech & Comms,5.396,243.338,0.0146,0.0083,1.255,11706.0,10.0,9.0,10.0,10.0,10.0,Q4,High
CCI,Crown Castle Inc.,Real Estate,Consumer,4.161,31.927,,0.2072,0.969,1500.0,2.0,1.0,9.0,5.0,4.0,Q2,Medium
CSX,CSX Corporation,Industrials,Industrials & Energy,14.512,87.252,0.2436,0.2221,1.207,22200.0,9.0,3.0,6.0,2.0,3.0,Q3,Low
CMI,Cummins Inc.,Industrials,Industrials & Energy,34.708,73.269,0.2111,0.0782,1.226,67400.0,5.0,5.0,4.0,2.0,2.0,Q3,Low
CVS,CVS Health Corporation,Healthcare,Healthcare,412.645,113.624,0.0621,0.0118,0.58,219000.0,8.0,8.0,6.0,1.0,4.0,Q4,Medium
DHR,Danaher Corporation,Healthcare,Healthcare,25.107,148.899,0.0761,0.1595,0.808,58000.0,6.0,10.0,5.0,2.0,7.0,Q4,High
DRI,"Darden Restaurants, Inc.",Consumer Cyclical,Consumer,13.211,23.762,0.5372,0.0913,0.59,209931.0,3.0,2.0,8.0,1.0,1.0,Q2,Low
DDOG,"Datadog, Inc.",Technology,Tech & Comms,3.967,82.559,0.047,0.0448,1.488,8100.0,7.0,10.0,9.0,10.0,10.0,Q3,High
DVA,DaVita Inc.,Healthcare,Healthcare,14.01,11.73,0.8848,0.0605,0.83,78000.0,8.0,2.0,5.0,3.0,2.0,Q1,Low
DECK,Deckers Outdoor Corporation,Consumer Cyclical,Consumer,5.527,10.681,0.4256,0.1836,1.15,6000.0,3.0,3.0,5.0,7.0,4.0,Q1,Medium
DE,Deere & Company,Industrials,Industrials & Energy,47.927,184.421,0.1824,0.1017,0.911,73100.0,7.0,5.0,4.0,7.0,6.0,Q4,Medium
DELL,Dell Technologies Inc.,Technology,Tech & Comms,151.197,361.18,,0.0752,1.409,97000.0,10.0,10.0,10.0,10.0,10.0,Q4,High
DAL,"Delta Air Lines, Inc.",Industrials,Industrials & Energy,68.287,52.36,0.2013,0.0578,1.291,103000.0,6.0,1.0,1.0,3.0,1.0,Q3,Low
DVN,Devon Energy Corporation,Energy,Industrials & Energy,18.781,53.471,0.1152,0.1746,0.426,2200.0,2.0,4.0,2.0,7.0,4.0,Q3,Medium
DXCM,"DexCom, Inc.",Healthcare,Healthcare,4.969,33.717,0.3849,0.2012,1.419,11000.0,2.0,7.0,5.0,6.0,5.0,Q2,Medium
FANG,"Diamondback Energy, Inc.",Energy,Industrials & Energy,16.248,53.881,0.0349,0.0903,0.414,1762.0,3.0,7.0,2.0,7.0,5.0,Q3,Medium
DLR,"Digital Realty Trust, Inc.",Real Estate,Consumer,6.757,68.78,0.0291,0.1182,1.037,4282.0,2.0,2.0,7.0,9.0,7.0,Q3,High
DG,Dollar General Corporation,Consumer Defensive,Consumer,43.638,27.006,0.1969,0.039,0.235,194000.0,8.0,1.0,7.0,7.0,4.0,Q2,Medium
DLTR,"Dollar Tree, Inc.",Consumer Defensive,Consumer,20.069,21.007,0.4603,0.0804,0.662,150000.0,5.0,3.0,7.0,2.0,2.0,Q1,Low
D,"Dominion Energy, Inc.",Utilities,Industrials & Energy,18.119,55.92,0.0828,0.1398,0.622,15200.0,10.0,7.0,3.0,6.0,6.0,Q3,Medium
DPZ,Domino's Pizza Inc,Consumer Cyclical,Consumer,5.028,9.733,,0.1186,0.946,6200.0,6.0,4.0,8.0,8.0,8.0,Q1,High
DASH,"DoorDash, Inc.",Consumer Cyclical,Consumer,15.891,83.601,0.0889,0.0529,1.788,31400.0,8.0,10.0,9.0,10.0,10.0,Q3,High
DOV,Dover Corporation,Industrials,Industrials & Energy,8.421,25.242,0.1491,0.1348,1.146,24000.0,5.0,6.0,2.0,4.0,3.0,Q2,Low
DOW,Dow Inc.,Basic Materials,Industrials & Energy,41.319,20.753,-0.0554,-0.0313,0.424,32800.0,2.0,5.0,4.0,5.0,4.0,Q1,Medium
DHI,"D.R. Horton, Inc.",Consumer Cyclical,Consumer,33.35,38.604,0.1263,0.0915,1.371,14341.0,7.0,6.0,5.0,8.0,7.0,Q2,High
DTE,DTE Energy Company,Utilities,Industrials & Energy,16.465,26.743,0.1103,0.08,0.388,9592.0,7.0,6.0,6.0,3.0,5.0,Q2,Medium
DUK,Duke Energy Corporation (Holdin,Utilities,Industrials & Energy,32.803,91.638,0.0986,0.16,0.364,26441.0,4.0,3.0,2.0,4.0,2.0,Q3,Low
DD,"DuPont de Nemours, Inc.",Basic Materials,Industrials & Energy,6.988,17.422,0.0179,0.0079,1.085,15000.0,8.0,7.0,5.0,2.0,5.0,Q1,Medium
ETN,"Eaton Corporation, PLC",Industrials,Industrials & Energy,30.026,164.981,0.1968,0.1275,1.168,97303.0,3.0,1.0,5.0,6.0,2.0,Q4,Low
EBAY,eBay Inc.,Consumer Cyclical,Consumer,12.008,49.769,0.4661,0.1857,1.339,12300.0,1.0,2.0,8.0,3.0,3.0,Q3,Low
ECHO,EchoStar Corporation,Communication Services,Tech & Comms,14.654,27.149,-0.3343,-0.3871,1.009,12100.0,10.0,10.0,10.0,10.0,10.0,Q2,High
ECL,Ecolab Inc.,Basic Materials,Industrials & Energy,16.843,75.537,0.2196,0.1257,0.89,48000.0,6.0,7.0,2.0,2.0,3.0,Q3,Low
EIX,Edison International,Utilities,Industrials & Energy,19.423,21.284,0.1973,0.1928,0.614,13725.0,5.0,1.0,8.0,1.0,1.0,Q1,Low
EW,Edwards Lifesciences Corporatio,Healthcare,Healthcare,6.512,50.873,0.0917,0.1543,0.852,16000.0,4.0,2.0,4.0,4.0,2.0,Q3,Low
ELV,"Elevance Health, Inc.",Healthcare,Healthcare,201.114,89.122,0.1113,0.0247,0.696,96129.0,1.0,1.0,2.0,6.0,1.0,Q3,Low
