Ticker,Company,Sector,Sector_Raw,Total_Revenue_B,Market_Cap_B,Market_Cap_Quartile,ROE,Profit_Margin,Beta,Headcount,Audit_Risk,Board_Risk,Compensation_Risk,Shareholder_Rights_Risk,Overall_Governance_Risk,Governance_Risk_Level
TECH,Bio-Techne Corp,Healthcare,Healthcare,1.215,11.349,Q1,0.0903,0.1497,1.275,3000.0,7.0,1.0,10.0,1.0,8.0,High
BIIB,Biogen Inc.,Healthcare,Healthcare,10.028,31.841,Q2,0.0457,0.0832,0.171,7500.0,8.0,2.0,9.0,2.0,5.0,Medium
BLK,"BlackRock, Inc.",Finance,Financial Services,27.299,173.814,Q4,0.1228,0.2409,1.429,26200.0,3.0,6.0,10.0,1.0,8.0,High
BX,Blackstone Inc.,Finance,Financial Services,15.483,149.364,Q4,0.3137,0.2273,1.558,5285.0,8.0,10.0,9.0,10.0,10.0,High
XYZ,"Block, Inc.",Tech & Comms,Technology,25.042,45.829,Q3,0.0161,0.0143,2.522,10205.0,4.0,10.0,9.0,10.0,10.0,High
BE,Bloom Energy Corporation,Industrials & Energy,Industrials,3.113,78.235,Q3,0.2221,0.0787,3.811,2214.0,3.0,7.0,6.0,8.0,7.0,High
BNY,The Bank of New York Mellon Cor,Finance,Financial Services,21.415,104.347,Q4,0.1412,0.2941,1.048,46500.0,2.0,7.0,10.0,3.0,8.0,High
BA,Boeing Company (The),Industrials & Energy,Industrials,93.995,156.651,Q4,1.7354,0.0259,1.213,182000.0,10.0,3.0,9.0,5.0,9.0,High
BKNG,Booking Holdings Inc. Common St,Consumer,Consumer Cyclical,28.241,126.157,Q4,,0.2553,1.068,25550.0,9.0,2.0,3.0,2.0,1.0,Low
BSX,Boston Scientific Corporation,Healthcare,Healthcare,20.996,62.81,Q3,0.1534,0.175,0.568,59000.0,10.0,8.0,4.0,4.0,7.0,High
BMY,Bristol-Myers Squibb Company,Healthcare,Healthcare,49.186,128.814,Q4,0.466,0.1887,0.227,32500.0,4.0,8.0,3.0,2.0,4.0,Medium
AVGO,Broadcom Inc.,Tech & Comms,Technology,89.104,1707.098,Q4,0.4425,0.4294,1.457,33000.0,3.0,3.0,10.0,3.0,9.0,High
BR,"Broadridge Financial Solutions,",Tech & Comms,Technology,7.477,18.6,Q1,0.4092,0.1504,0.91,16000.0,1.0,1.0,7.0,8.0,2.0,Low
BRO,"Brown & Brown, Inc.",Finance,Financial Services,6.663,21.756,Q1,0.1002,0.1808,0.582,22888.0,8.0,8.0,6.0,1.0,3.0,Low
BF-B,Brown Forman Inc,Consumer,Consumer Defensive,3.915,11.903,Q1,0.1812,0.1842,0.331,4900.0,9.0,10.0,10.0,10.0,10.0,High
BG,Bunge Limited,Consumer,Consumer Defensive,91.819,22.205,Q1,0.0718,0.011,0.66,34000.0,3.0,4.0,7.0,6.0,5.0,Medium
BXP,"BXP, Inc.",Consumer,Real Estate,3.19,11.426,Q1,0.0531,0.093,1.033,826.0,6.0,9.0,9.0,8.0,9.0,High
CHRW,"C.H. Robinson Worldwide, Inc.",Industrials & Energy,Industrials,16.997,17.877,Q1,0.3712,0.0373,0.943,11599.0,1.0,3.0,7.0,8.0,6.0,Medium
CDNS,"Cadence Design Systems, Inc.",Tech & Comms,Technology,5.838,77.909,Q3,0.2323,0.2361,1.137,15445.0,3.0,2.0,3.0,1.0,1.0,Low
CPT,Camden Property Trust,Consumer,Real Estate,1.582,11.471,Q1,0.0789,0.2062,0.782,1640.0,3.0,7.0,9.0,7.0,8.0,High
COF,Capital One Financial Corporati,Finance,Financial Services,48.11,124.188,Q4,0.0903,0.2187,1.016,78400.0,3.0,7.0,8.0,2.0,6.0,Medium
CAH,"Cardinal Health, Inc.",Healthcare,Healthcare,254.248,52.418,Q3,,0.0067,0.519,58788.0,9.0,1.0,1.0,1.0,1.0,Low
CCL,Carnival Corporation Ltd.,Consumer,Consumer Cyclical,27.311,29.913,Q2,0.2669,0.1124,2.312,160000.0,7.0,9.0,1.0,9.0,8.0,High
CARR,Carrier Global Corporation,Industrials & Energy,Industrials,22.108,44.415,Q2,0.0897,0.0552,1.298,47000.0,8.0,5.0,9.0,2.0,6.0,Medium
CVNA,Carvana Co.,Consumer,Consumer Cyclical,25.058,72.172,Q3,0.5877,0.0626,3.497,23100.0,9.0,10.0,9.0,10.0,10.0,High
CASY,"Caseys General Stores, Inc.",Consumer,Consumer Cyclical,18.672,22.083,Q1,0.1998,0.0414,0.592,23490.0,7.0,5.0,3.0,7.0,5.0,Medium
CAT,"Caterpillar, Inc.",Industrials & Energy,Industrials,74.729,371.872,Q4,0.5697,0.1451,1.594,118000.0,4.0,4.0,3.0,5.0,3.0,Low
CBOE,"Cboe Global Markets, Inc.",Finance,Financial Services,5.061,28.495,Q2,0.263,0.2673,0.408,1661.0,6.0,1.0,3.0,5.0,2.0,Low
CBRE,CBRE Group Inc,Consumer,Real Estate,43.711,40.396,Q2,0.158,0.0298,1.188,155000.0,1.0,6.0,2.0,2.0,2.0,Low
CDW,CDW Corporation,Tech & Comms,Technology,23.5,18.276,Q1,0.4401,0.046,0.941,14800.0,1.0,6.0,6.0,4.0,4.0,Medium
COR,"Cencora, Inc.",Healthcare,Healthcare,332.771,58.924,Q3,0.9687,0.0079,0.574,47000.0,2.0,2.0,1.0,7.0,2.0,Low
CNC,Centene Corporation,Healthcare,Healthcare,180.304,32.164,Q2,-0.2036,-0.0283,1.106,61100.0,2.0,2.0,5.0,1.0,1.0,Low
CNP,"CenterPoint Energy, Inc (Holdin",Industrials & Energy,Utilities,9.62,25.176,Q2,0.0983,0.1161,0.451,8794.0,3.0,5.0,5.0,8.0,6.0,Medium
CF,"CF Industries Holdings, Inc.",Industrials & Energy,Basic Materials,7.739,19.326,Q1,0.2987,0.2712,0.399,2900.0,7.0,3.0,6.0,5.0,4.0,Medium
CRL,Charles River Laboratories Inte,Healthcare,Healthcare,3.999,13.394,Q1,-0.0752,-0.0596,1.405,18300.0,2.0,1.0,6.0,8.0,4.0,Medium
SCHW,Charles Schwab Corporation (The,Finance,Financial Services,26.025,182.013,Q4,0.2027,0.3879,0.753,33700.0,7.0,9.0,8.0,9.0,9.0,High
CHTR,"Charter Communications, Inc.",Tech & Comms,Communication Services,54.396,16.657,Q1,0.272,0.0905,0.687,91900.0,10.0,7.0,10.0,6.0,10.0,High
CVX,Chevron Corporation,Industrials & Energy,Energy,209.384,410.976,Q4,0.1223,0.0983,0.491,43039.0,10.0,4.0,1.0,2.0,1.0,Low
CMG,"Chipotle Mexican Grill, Inc.",Consumer,Consumer Cyclical,12.424,42.303,Q2,0.4956,0.1143,0.937,140000.0,6.0,1.0,2.0,7.0,2.0,Low
CB,Chubb Limited,Finance,Financial Services,61.896,131.419,Q4,0.1482,0.1807,0.382,45000.0,9.0,10.0,2.0,6.0,8.0,High
CHD,"Church & Dwight Company, Inc.",Consumer,Consumer Defensive,6.229,22.475,Q2,0.1704,0.1196,0.472,5550.0,4.0,4.0,2.0,5.0,3.0,Low
CIEN,Ciena Corporation,Tech & Comms,Technology,6.021,49.463,Q3,0.224,0.1087,1.309,8898.0,7.0,1.0,6.0,7.0,4.0,Medium
CI,The Cigna Group,Healthcare,Healthcare,282.382,72.74,Q3,0.1676,0.0227,0.317,65669.0,1.0,4.0,7.0,7.0,5.0,Medium
CINF,Cincinnati Financial Corporatio,Finance,Financial Services,13.954,25.938,Q2,0.2148,0.2384,0.545,5705.0,6.0,10.0,4.0,8.0,9.0,High
CTAS,Cintas Corporation,Industrials & Energy,Industrials,11.265,79.09,Q3,0.4071,0.1775,0.913,48100.0,7.0,10.0,3.0,9.0,9.0,High
CSCO,"Cisco Systems, Inc.",Tech & Comms,Technology,63.325,431.753,Q4,0.2732,0.2095,0.992,82400.0,6.0,6.0,8.0,1.0,3.0,Low
C,"Citigroup, Inc.",Finance,Financial Services,81.712,221.036,Q4,0.0853,0.2183,1.097,219000.0,1.0,6.0,10.0,1.0,8.0,High
CFG,"Citizens Financial Group, Inc.",Finance,Financial Services,8.161,28.236,Q2,0.0827,0.2605,0.997,17727.0,3.0,5.0,6.0,7.0,6.0,Medium
CLX,Clorox Company (The),Consumer,Consumer Defensive,6.72,10.049,Q1,1.6376,0.0873,0.544,9200.0,7.0,3.0,6.0,8.0,7.0,High
CME,CME Group Inc.,Finance,Financial Services,6.757,99.247,Q4,0.158,0.6344,0.275,3875.0,1.0,9.0,8.0,10.0,9.0,High
CMS,CMS Energy Corporation,Industrials & Energy,Utilities,8.813,20.489,Q1,0.0916,0.1164,0.331,8350.0,3.0,6.0,1.0,1.0,1.0,Low
KO,Coca-Cola Company (The),Consumer,Consumer Defensive,50.129,379.7,Q4,0.4205,0.2856,0.342,65900.0,4.0,9.0,1.0,4.0,4.0,Medium
CTSH,Cognizant Technology Solutions ,Tech & Comms,Technology,21.642,26.968,Q2,0.1492,0.1026,0.83,356700.0,1.0,4.0,4.0,2.0,1.0,Low
COHR,Coherent Corp.,Tech & Comms,Technology,7.118,62.149,Q3,0.0798,0.1131,2.104,51478.0,5.0,4.0,9.0,9.0,9.0,High
COIN,"Coinbase Global, Inc.",Finance,Financial Services,6.044,51.25,Q3,-0.0785,-0.1634,3.388,4951.0,10.0,10.0,10.0,10.0,10.0,High
CL,Colgate-Palmolive Company,Consumer,Consumer Defensive,21.047,69.729,Q3,2.6737,0.0968,0.323,33600.0,3.0,5.0,4.0,2.0,2.0,Low
CMCSA,Comcast Corporation,Tech & Comms,Communication Services,124.904,80.696,Q3,0.1149,0.0897,0.662,179000.0,10.0,10.0,9.0,10.0,10.0,High
FIX,"Comfort Systems USA, Inc.",Industrials & Energy,Industrials,11.228,58.119,Q3,0.5529,0.1278,1.676,22700.0,9.0,3.0,5.0,9.0,8.0,High
COP,ConocoPhillips,Industrials & Energy,Energy,64.459,158.372,Q4,0.1418,0.144,0.134,9600.0,9.0,5.0,3.0,8.0,7.0,High
ED,"Consolidated Edison, Inc.",Industrials & Energy,Utilities,17.689,38.991,Q2,0.0896,0.1253,0.259,15407.0,6.0,7.0,1.0,4.0,4.0,Medium
STZ,"Constellation Brands, Inc.",Consumer,Consumer Defensive,9.057,20.321,Q1,0.2369,0.2014,0.4,9400.0,8.0,3.0,3.0,4.0,3.0,Low
CEG,Constellation Energy Corporatio,Industrials & Energy,Utilities,31.27,90.246,Q3,0.1506,0.1108,1.117,15291.0,4.0,8.0,3.0,8.0,7.0,High
COO,"The Cooper Companies, Inc.",Healthcare,Healthcare,4.237,10.514,Q1,0.0684,0.1346,0.818,15000.0,10.0,3.0,9.0,3.0,7.0,High
CPRT,"Copart, Inc.",Industrials & Energy,Industrials,4.666,27.108,Q2,0.1616,0.3181,1.029,,10.0,9.0,7.0,2.0,7.0,High
GLW,Corning Incorporated,Tech & Comms,Technology,16.964,129.32,Q4,0.1681,0.112,1.151,67200.0,3.0,8.0,8.0,6.0,7.0,High
CPAY,"Corpay, Inc.",Tech & Comms,Technology,5.021,26.117,Q2,0.2922,0.2272,0.873,11800.0,10.0,10.0,10.0,2.0,9.0,High
CTVA,"Corteva, Inc.",Industrials & Energy,Basic Materials,17.812,53.729,Q3,0.0426,0.0566,0.577,21500.0,5.0,3.0,5.0,5.0,4.0,Medium
CSGP,"CoStar Group, Inc.",Consumer,Real Estate,3.556,11.787,Q1,0.0089,0.0208,0.747,8441.0,2.0,1.0,9.0,4.0,4.0,Medium
COST,Costco Wholesale Corporation,Consumer,Consumer Defensive,293.587,397.051,Q4,0.2915,0.0301,0.855,341000.0,6.0,2.0,4.0,1.0,1.0,Low
CRH,CRH PLC,Industrials & Energy,Basic Materials,38.632,57.314,Q3,0.1581,0.0994,1.198,83032.0,2.0,6.0,5.0,7.0,5.0,Medium
CRWD,"CrowdStrike Holdings, Inc.",Tech & Comms,Technology,5.396,243.338,Q4,0.0146,0.0083,1.255,11706.0,10.0,9.0,10.0,10.0,10.0,High
CCI,Crown Castle Inc.,Consumer,Real Estate,4.161,31.927,Q2,,0.2072,0.969,1500.0,2.0,1.0,9.0,5.0,4.0,Medium
CSX,CSX Corporation,Industrials & Energy,Industrials,14.512,87.252,Q3,0.2436,0.2221,1.207,22200.0,9.0,3.0,6.0,2.0,3.0,Low
CMI,Cummins Inc.,Industrials & Energy,Industrials,34.708,73.269,Q3,0.2111,0.0782,1.226,67400.0,5.0,5.0,4.0,2.0,2.0,Low
CVS,CVS Health Corporation,Healthcare,Healthcare,412.645,113.624,Q4,0.0621,0.0118,0.58,219000.0,8.0,8.0,6.0,1.0,4.0,Medium
DHR,Danaher Corporation,Healthcare,Healthcare,25.107,148.899,Q4,0.0761,0.1595,0.808,58000.0,6.0,10.0,5.0,2.0,7.0,High
DRI,"Darden Restaurants, Inc.",Consumer,Consumer Cyclical,13.211,23.762,Q2,0.5372,0.0913,0.59,209931.0,3.0,2.0,8.0,1.0,1.0,Low
DDOG,"Datadog, Inc.",Tech & Comms,Technology,3.967,82.559,Q3,0.047,0.0448,1.488,8100.0,7.0,10.0,9.0,10.0,10.0,High
DVA,DaVita Inc.,Healthcare,Healthcare,14.01,11.73,Q1,0.8848,0.0605,0.83,78000.0,8.0,2.0,5.0,3.0,2.0,Low
DECK,Deckers Outdoor Corporation,Consumer,Consumer Cyclical,5.527,10.681,Q1,0.4256,0.1836,1.15,6000.0,3.0,3.0,5.0,7.0,4.0,Medium
DE,Deere & Company,Industrials & Energy,Industrials,47.927,184.421,Q4,0.1824,0.1017,0.911,73100.0,7.0,5.0,4.0,7.0,6.0,Medium
DELL,Dell Technologies Inc.,Tech & Comms,Technology,151.197,361.18,Q4,,0.0752,1.409,97000.0,10.0,10.0,10.0,10.0,10.0,High
DAL,"Delta Air Lines, Inc.",Industrials & Energy,Industrials,68.287,52.36,Q3,0.2013,0.0578,1.291,103000.0,6.0,1.0,1.0,3.0,1.0,Low
DVN,Devon Energy Corporation,Industrials & Energy,Energy,18.781,53.471,Q3,0.1152,0.1746,0.426,2200.0,2.0,4.0,2.0,7.0,4.0,Medium
DXCM,"DexCom, Inc.",Healthcare,Healthcare,4.969,33.717,Q2,0.3849,0.2012,1.419,11000.0,2.0,7.0,5.0,6.0,5.0,Medium
FANG,"Diamondback Energy, Inc.",Industrials & Energy,Energy,16.248,53.881,Q3,0.0349,0.0903,0.414,1762.0,3.0,7.0,2.0,7.0,5.0,Medium
DLR,"Digital Realty Trust, Inc.",Consumer,Real Estate,6.757,68.78,Q3,0.0291,0.1182,1.037,4282.0,2.0,2.0,7.0,9.0,7.0,High
DG,Dollar General Corporation,Consumer,Consumer Defensive,43.638,27.006,Q2,0.1969,0.039,0.235,194000.0,8.0,1.0,7.0,7.0,4.0,Medium
DLTR,"Dollar Tree, Inc.",Consumer,Consumer Defensive,20.069,21.007,Q1,0.4603,0.0804,0.662,150000.0,5.0,3.0,7.0,2.0,2.0,Low
D,"Dominion Energy, Inc.",Industrials & Energy,Utilities,18.119,55.92,Q3,0.0828,0.1398,0.622,15200.0,10.0,7.0,3.0,6.0,6.0,Medium
DPZ,Domino's Pizza Inc,Consumer,Consumer Cyclical,5.028,9.733,Q1,,0.1186,0.946,6200.0,6.0,4.0,8.0,8.0,8.0,High
DASH,"DoorDash, Inc.",Consumer,Consumer Cyclical,15.891,83.601,Q3,0.0889,0.0529,1.788,31400.0,8.0,10.0,9.0,10.0,10.0,High
DOV,Dover Corporation,Industrials & Energy,Industrials,8.421,25.242,Q2,0.1491,0.1348,1.146,24000.0,5.0,6.0,2.0,4.0,3.0,Low
DOW,Dow Inc.,Industrials & Energy,Basic Materials,41.319,20.753,Q1,-0.0554,-0.0313,0.424,32800.0,2.0,5.0,4.0,5.0,4.0,Medium
DHI,"D.R. Horton, Inc.",Consumer,Consumer Cyclical,33.35,38.604,Q2,0.1263,0.0915,1.371,14341.0,7.0,6.0,5.0,8.0,7.0,High
DTE,DTE Energy Company,Industrials & Energy,Utilities,16.465,26.743,Q2,0.1103,0.08,0.388,9592.0,7.0,6.0,6.0,3.0,5.0,Medium
DUK,Duke Energy Corporation (Holdin,Industrials & Energy,Utilities,32.803,91.638,Q3,0.0986,0.16,0.364,26441.0,4.0,3.0,2.0,4.0,2.0,Low
DD,"DuPont de Nemours, Inc.",Industrials & Energy,Basic Materials,6.988,17.422,Q1,0.0179,0.0079,1.085,15000.0,8.0,7.0,5.0,2.0,5.0,Medium
ETN,"Eaton Corporation, PLC",Industrials & Energy,Industrials,30.026,164.981,Q4,0.1968,0.1275,1.168,97303.0,3.0,1.0,5.0,6.0,2.0,Low
EBAY,eBay Inc.,Consumer,Consumer Cyclical,12.008,49.769,Q3,0.4661,0.1857,1.339,12300.0,1.0,2.0,8.0,3.0,3.0,Low
ECHO,EchoStar Corporation,Tech & Comms,Communication Services,14.654,27.149,Q2,-0.3343,-0.3871,1.009,12100.0,10.0,10.0,10.0,10.0,10.0,High
ECL,Ecolab Inc.,Industrials & Energy,Basic Materials,16.843,75.537,Q3,0.2196,0.1257,0.89,48000.0,6.0,7.0,2.0,2.0,3.0,Low
EIX,Edison International,Industrials & Energy,Utilities,19.423,21.284,Q1,0.1973,0.1928,0.614,13725.0,5.0,1.0,8.0,1.0,1.0,Low
EW,Edwards Lifesciences Corporatio,Healthcare,Healthcare,6.512,50.873,Q3,0.0917,0.1543,0.852,16000.0,4.0,2.0,4.0,4.0,2.0,Low
ELV,"Elevance Health, Inc.",Healthcare,Healthcare,201.114,89.122,Q3,0.1113,0.0247,0.696,96129.0,1.0,1.0,2.0,6.0,1.0,Low
